               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11377,             0.06519,            0.066125,            0.031675,            0.054084,            0.015402,           0.0029412,             0.10904,             0.04336,             0.06483,              0.0002,              0.0002,              0.0982
                   1,             0.10497,            0.072626,            0.063769,            0.014367,            0.048132,            0.011341,           0.0024183,            0.099087,            0.046448,            0.061729,          0.00040969,          0.00040969,             0.09631
                   2,            0.096552,            0.085721,            0.060517,            0.017912,            0.067237,            0.013488,           0.0033651,            0.090741,            0.049721,            0.058576,          0.00061907,          0.00061907,            0.094419
                   3,             0.08808,            0.087331,            0.056034,            0.045104,             0.15444,            0.035217,            0.010842,            0.081849,            0.048739,            0.054295,          0.00082813,          0.00082813,            0.092528
                   4,            0.077417,            0.079467,            0.051768,            0.073893,             0.28271,            0.097111,            0.042037,            0.071118,            0.045957,            0.050198,           0.0010369,           0.0010369,            0.090637
                   5,            0.067729,             0.07409,            0.047794,            0.087137,              0.2825,             0.12815,            0.051231,            0.065228,            0.040869,            0.046064,           0.0012453,           0.0012453,            0.088745
                   6,             0.06373,            0.078249,            0.044987,             0.21755,             0.38678,             0.16264,            0.060925,            0.064445,            0.038946,            0.043685,           0.0014534,           0.0014534,            0.086853
                   7,            0.060005,            0.067314,            0.043737,             0.43435,             0.29689,             0.20067,            0.086182,            0.053087,            0.037291,            0.041875,           0.0016612,           0.0016612,            0.084961
                   8,            0.067191,            0.063967,            0.042955,             0.32407,             0.27228,             0.15589,            0.063121,            0.061064,            0.036239,            0.041256,           0.0018687,           0.0018687,            0.083069
                   9,            0.066878,            0.064152,            0.041135,              0.5334,             0.34504,             0.18158,            0.069482,             0.06218,            0.034063,            0.040065,           0.0020759,           0.0020759,            0.081176
                  10,            0.063637,            0.061813,            0.040304,             0.67694,               0.247,              0.2255,               0.111,            0.054608,            0.034005,            0.038929,           0.0022828,           0.0022828,            0.079283
                  11,            0.063422,            0.059844,             0.03921,             0.59447,             0.28693,              0.2008,            0.091019,            0.055067,            0.033855,            0.038394,           0.0024893,           0.0024893,            0.077389
                  12,            0.061535,            0.059998,            0.038811,             0.62917,             0.35466,             0.26476,             0.14626,            0.044946,            0.033559,            0.037355,           0.0026955,           0.0026955,            0.075496
                  13,            0.060227,            0.057851,            0.037052,             0.64621,             0.33859,               0.253,             0.10141,            0.054355,            0.030758,            0.035773,           0.0029014,           0.0029014,            0.073601
                  14,            0.057834,            0.057462,            0.036363,             0.69046,             0.28809,             0.28258,             0.14382,            0.046311,            0.031061,            0.034606,            0.003107,            0.003107,            0.071707
                  15,            0.058257,            0.057675,            0.035406,             0.67091,             0.37145,             0.27264,             0.13006,            0.050162,            0.030587,            0.034282,           0.0033123,           0.0033123,            0.069812
                  16,            0.056025,             0.06048,            0.034037,             0.69013,             0.42157,             0.32863,             0.18122,            0.042757,              0.0305,            0.032623,           0.0035173,           0.0035173,            0.067917
                  17,            0.054535,            0.058097,            0.032735,             0.67909,             0.34836,             0.26349,             0.12306,            0.047122,            0.029049,            0.031436,           0.0037219,           0.0037219,            0.066022
                  18,             0.05292,            0.054888,            0.032769,             0.73525,             0.35126,             0.34223,             0.18669,            0.040758,            0.029389,             0.03059,           0.0039263,           0.0039263,            0.064126
                  19,            0.052153,            0.054156,             0.03112,              0.7261,             0.37599,             0.35521,             0.18277,            0.044611,            0.029199,            0.030105,           0.0041303,           0.0041303,             0.06223
                  20,            0.051656,            0.053332,            0.031562,             0.78825,             0.33784,             0.37657,             0.21926,            0.042702,            0.029141,            0.030173,            0.004334,            0.004334,            0.060334
                  21,            0.050825,            0.053587,            0.030524,             0.82415,             0.32912,             0.41314,             0.22581,            0.042495,            0.027663,             0.02858,           0.0045374,           0.0045374,            0.058437
                  22,            0.049046,            0.051438,            0.029715,             0.76959,             0.40189,             0.43549,             0.26103,            0.037179,            0.027144,            0.027515,           0.0047405,           0.0047405,             0.05654
                  23,            0.049021,            0.051681,            0.029493,             0.72458,              0.4223,             0.38912,               0.214,            0.044577,            0.029627,            0.026583,           0.0049432,           0.0049432,            0.054643
                  24,            0.056026,            0.057571,            0.028047,             0.79164,             0.39294,              0.4437,             0.27372,             0.04009,            0.029367,            0.026803,           0.0051457,           0.0051457,            0.052746
